[1] ADD,kHMjwfSx2P,63511.53 
[2129] BUY,QPKBykFnxr,XYR,724.76 
[2130] SET_BUY_TRIGGER,whcYxtH67L,JXE,137.89 
[2131] CANCEL_BUY,h0Ib8LzTs9 
[2132] COMMIT_BUY,YET2WF8iGL 
[2133] DISPLAY_SUMMARY,Z14JubX5Uv 
[2134] BUY,kHMjwfSx2P,RNJ,93.35 
[2135] CANCEL_SET_SELL,izXvHOmJ6Y,RPF 
[2136] SELL,pz8HIUVPXH,XTF,448.46 
[2137] DISPLAY_SUMMARY,r9sY6ykQwB 
[2138] QUOTE,PDwyOp2gzv,SWC 
[2139] SET_SELL_TRIGGER,mZFoN64osd,WXZ,451.31 
[2140] BUY,mMQlpMeOfD,CRJ,363.88 
[2141] DISPLAY_SUMMARY,whcYxtH67L 
[2142] QUOTE,qEVRIEnox8,VAL 
[2143] DISPLAY_SUMMARY,r9sY6ykQwB 
[2144] COMMIT_SELL,mZFoN64osd 
[2145] DISPLAY_SUMMARY,e6Ql5cbsux 
[2146] SET_BUY_TRIGGER,7nGIkyoUrD,UDM,248.37 
[2147] DISPLAY_SUMMARY,BxWlges22v 
[2148] SET_SELL_TRIGGER,IkWXoni8ti,BMJ,406.91 
[2149] SELL,qkUYmnHXvb,XTF,19.58 
[2150] BUY,uspV5YXJSf,YUI,231.91 
[2151] QUOTE,LHA4yFlv3r,TKB 
[2152] COMMIT_BUY,BDty3gMxBy 
[2153] CANCEL_SELL,BDty3gMxBy 
[2154] SET_SELL_AMOUNT,kHMjwfSx2P,RPN,520.84 
[2155] COMMIT_BUY,uspV5YXJSf 
[2156] SET_BUY_TRIGGER,Js6LySzcEQ,XYR,329.76 
[2157] COMMIT_BUY,QPKBykFnxr 
[2158] CANCEL_BUY,pTZZjie7eX 
[2159] COMMIT_BUY,Kt8I7sdBcS 
[2160] BUY,TMxB3eAn63,SBK,486.66 
[2161] SET_SELL_TRIGGER,qEVRIEnox8,CRJ,18.25 
[2162] QUOTE,h0Ib8LzTs9,HIZ 
[2163] CANCEL_SELL,Kt8I7sdBcS 
[2164] DISPLAY_SUMMARY,QPKBykFnxr 
[2165] DISPLAY_SUMMARY,IkWXoni8ti 
[2166] CANCEL_SELL,NmALn2RmzI 
[2167] QUOTE,YIgPFTE1M7,WVC 
[2168] SET_BUY_TRIGGER,JPE6oMVt1b,ZJI,2.48 
[2169] CANCEL_SELL,NmALn2RmzI 
[2170] QUOTE,e6Ql5cbsux,NAI 
[2171] CANCEL_SET_SELL,r9sY6ykQwB,BMJ 
[2172] DISPLAY_SUMMARY,QPKBykFnxr 
[2173] BUY,NmALn2RmzI,BXC,287.89 
[2174] SET_SELL_TRIGGER,jK70t6xffU,XYR,479.39 
[2175] CANCEL_SET_BUY,IkWXoni8ti,XXD 
[2176] BUY,tK1JNuy0li,SLC,144.67 
[2177] ADD,ItaC6MIk2c,85834.73 
[2178] BUY,PDwyOp2gzv,KLF,376.41 
[2179] BUY,e6Ql5cbsux,JBQ,654.86 
[2180] BUY,izXvHOmJ6Y,HJE,426.15 
[2181] SET_BUY_TRIGGER,qEVRIEnox8,RPN,1.63 
[2182] CANCEL_BUY,mMQlpMeOfD 
[2183] COMMIT_BUY,yAAurFarHT 
[2184] BUY,QPKBykFnxr,LED,56.08 
[2185] BUY,uspV5YXJSf,RPF,681.36 
[2186] SET_SELL_TRIGGER,kHMjwfSx2P,RPN,112.00 
[2187] QUOTE,R4lbhHC1hS,HJE 
[2188] QUOTE,Z14JubX5Uv,KUZ 
[2189] CANCEL_SET_SELL,CvCH8jPh2i,VAL 
[2190] CANCEL_SET_BUY,LHA4yFlv3r,HIZ 
[2191] ADD,wMcCWGxtZb,68301.64 
[2192] ADD,IkWXoni8ti,75688.35 
[2193] CANCEL_SET_SELL,YIgPFTE1M7,ZFP 
[2194] COMMIT_BUY,tK1JNuy0li 
[2195] ADD,CvCH8jPh2i,84163.00 
[2196] CANCEL_SELL,RtgbNlNQ82 
[2197] DISPLAY_SUMMARY,RtgbNlNQ82 
[2198] SELL,E9DHfAjHfd,BMJ,498.00 
[2199] SET_BUY_AMOUNT,LHA4yFlv3r,WXZ,166.56 
[2200] COMMIT_BUY,NmALn2RmzI 
[2201] COMMIT_BUY,E9DHfAjHfd 
[2202] CANCEL_SELL,NmALn2RmzI 
[2203] COMMIT_BUY,e6Ql5cbsux 
[2204] ADD,CxzX2w8DmS,38193.60 
[2205] BUY,Js6LySzcEQ,IKA,278.74 
[2206] CANCEL_BUY,La1eSbNL6p 
[2207] COMMIT_BUY,uspV5YXJSf 
[2208] BUY,CxzX2w8DmS,ACY,441.48 
[2209] COMMIT_BUY,yAAurFarHT 
[2210] ADD,h0Ib8LzTs9,60329.82 
[2211] COMMIT_BUY,QPKBykFnxr 
[2212] COMMIT_SELL,qkUYmnHXvb 
[2213] COMMIT_SELL,tK1JNuy0li 
[2214] SELL,RtgbNlNQ82,WXZ,601.32 
[2215] QUOTE,R4lbhHC1hS,LPF 
[2216] ADD,YIgPFTE1M7,59435.47 
[2217] COMMIT_BUY,CxzX2w8DmS 
[2218] CANCEL_BUY,qkUYmnHXvb 
[2219] BUY,ItaC6MIk2c,SFY,37.98 
[2220] CANCEL_SET_BUY,e6Ql5cbsux,COI 
[2221] BUY,h0Ib8LzTs9,UED,495.79 
[2222] BUY,wMcCWGxtZb,MFG,300.17 
[2223] DISPLAY_SUMMARY,CvCH8jPh2i 
[2224] CANCEL_SET_BUY,JPE6oMVt1b,SWC 
[2225] COMMIT_SELL,CxzX2w8DmS 
[2226] BUY,zVGmOyE2TY,BFA,66.06 
[2227] COMMIT_SELL,RtgbNlNQ82 
[2228] BUY,CxzX2w8DmS,GGV,572.47 
[2229] COMMIT_BUY,13VC8b11Q6 
[2230] SELL,jK70t6xffU,WXZ,269.99 
[2231] CANCEL_BUY,Js6LySzcEQ 
[2232] SET_SELL_AMOUNT,L3qfH51ukK,WXZ,336.43 
[2233] BUY,e6Ql5cbsux,JBQ,281.66 
[2234] DISPLAY_SUMMARY,E9DHfAjHfd 
[2235] ADD,RtgbNlNQ82,54727.94 
[2236] COMMIT_SELL,jK70t6xffU 
[2237] CANCEL_SELL,yAAurFarHT 
[2238] CANCEL_SET_BUY,mMQlpMeOfD,DKJ 
[2239] COMMIT_SELL,BDty3gMxBy 
[2240] DISPLAY_SUMMARY,7nGIkyoUrD 
[2241] CANCEL_SET_SELL,PDwyOp2gzv,YYX 
[2242] COMMIT_SELL,pTZZjie7eX 
[2243] CANCEL_SELL,BxWlges22v 
[2244] COMMIT_BUY,bfIjLoap9T 
[2245] SET_BUY_TRIGGER,LHA4yFlv3r,GWE,40.49 
[2246] COMMIT_BUY,CxzX2w8DmS 
[2247] SELL,QPKBykFnxr,WXZ,627.17 
[2248] COMMIT_BUY,TMxB3eAn63 
[2249] COMMIT_BUY,wMcCWGxtZb 
[2250] ADD,13VC8b11Q6,67268.77 
[2251] SET_SELL_AMOUNT,pz8HIUVPXH,RPN,27.82 
[2252] SET_SELL_AMOUNT,RtgbNlNQ82,WXZ,172.50 
[2253] SELL,YET2WF8iGL,XTF,113.60 
[2254] CANCEL_BUY,kHMjwfSx2P 
[2255] SELL,tK1JNuy0li,RPN,46.86 
[2256] CANCEL_SET_BUY,IkWXoni8ti,ZFP 
[2257] BUY,YIgPFTE1M7,SUN,522.46 
[2258] SELL,LHA4yFlv3r,WXZ,341.26 
[2259] CANCEL_SELL,BxWlges22v 
[2260] QUOTE,13VC8b11Q6,HZQ 
[2261] QUOTE,jK70t6xffU,KUZ 
[2262] SET_SELL_TRIGGER,RtgbNlNQ82,WXZ,68.61 
[2263] COMMIT_SELL,tK1JNuy0li 
[2264] COMMIT_BUY,mZFoN64osd 
[2265] COMMIT_BUY,izXvHOmJ6Y 
[2266] COMMIT_BUY,tK1JNuy0li 
[2267] COMMIT_SELL,qoExOgAPyd 
[2268] ADD,qkUYmnHXvb,92815.20 
[2269] CANCEL_SET_SELL,pz8HIUVPXH,RPN 
[2270] QUOTE,pz8HIUVPXH,COI 
[2271] CANCEL_SELL,YET2WF8iGL 
[2272] BUY,qEVRIEnox8,VVL,40.06 
[2273] DISPLAY_SUMMARY,uspV5YXJSf 
[2274] CANCEL_SELL,YET2WF8iGL 
[2275] ADD,7nGIkyoUrD,69423.42 
[2276] SELL,mZFoN64osd,XTF,160.61 
[2277] QUOTE,qkUYmnHXvb,KME 
[2278] QUOTE,Z14JubX5Uv,SLF 
[2279] BUY,pz8HIUVPXH,JNP,178.11 
[2280] ADD,TMxB3eAn63,88411.72 
[2281] QUOTE,jK70t6xffU,IKA 
[2282] CANCEL_SET_SELL,tK1JNuy0li,LPF 
[2283] CANCEL_BUY,YIgPFTE1M7 
[2284] SET_SELL_TRIGGER,kHMjwfSx2P,XYC,39.33 
[2285] BUY,TMxB3eAn63,SLF,490.61 
[2286] QUOTE,wMcCWGxtZb,TNV 
[2287] COMMIT_BUY,TMxB3eAn63 
[2288] COMMIT_SELL,YET2WF8iGL 
[2289] CANCEL_SET_BUY,pTZZjie7eX,BFA 
[2290] COMMIT_SELL,BDty3gMxBy 
[2291] COMMIT_SELL,r9sY6ykQwB 
[2292] QUOTE,R4lbhHC1hS,OTW 
[2293] SET_SELL_AMOUNT,7nGIkyoUrD,BMJ,44.79 
[2294] COMMIT_SELL,r9sY6ykQwB 
[2295] CANCEL_SET_SELL,RtgbNlNQ82,GWE 
[2296] COMMIT_SELL,NmALn2RmzI 
[2297] BUY,Kt8I7sdBcS,BMJ,710.27 
[2298] DISPLAY_SUMMARY,YIgPFTE1M7 
[2299] COMMIT_BUY,R4lbhHC1hS 
[2300] SELL,NmALn2RmzI,WXZ,665.72 
[2301] SET_BUY_AMOUNT,La1eSbNL6p,BMJ,714.73 
[2302] DISPLAY_SUMMARY,tK1JNuy0li 
[2303] BUY,7nGIkyoUrD,MAP,167.31 
[2304] DISPLAY_SUMMARY,Z14JubX5Uv 
[2305] ADD,R4lbhHC1hS,59556.93 
[2306] DISPLAY_SUMMARY,La1eSbNL6p 
[2307] ADD,qoExOgAPyd,70112.87 
[2308] CANCEL_BUY,QPKBykFnxr 
[2309] CANCEL_SET_BUY,tK1JNuy0li,BFA 
[2310] CANCEL_BUY,zVGmOyE2TY 
[2311] COMMIT_SELL,NmALn2RmzI 
[2312] QUOTE,qoExOgAPyd,XYC 
[2313] SELL,whcYxtH67L,XTF,284.10 
[2314] DISPLAY_SUMMARY,bfIjLoap9T 
[2315] SELL,yAAurFarHT,WXZ,550.73 
[2316] CANCEL_SELL,zVGmOyE2TY 
[2317] QUOTE,Kt8I7sdBcS,SWC 
[2318] CANCEL_SET_SELL,qkUYmnHXvb,JXE 
[2319] ADD,kHMjwfSx2P,58256.60 
[2320] COMMIT_SELL,mZFoN64osd 
[2321] ADD,qoExOgAPyd,78804.08 
[2322] SET_SELL_AMOUNT,pTZZjie7eX,WXZ,176.43 
[2323] QUOTE,kHMjwfSx2P,XXD 
[2324] COMMIT_BUY,Kt8I7sdBcS 
[2325] COMMIT_SELL,7nGIkyoUrD 
[2326] BUY,NmALn2RmzI,SLC,425.18 
[2327] ADD,mZFoN64osd,66231.89 
[2328] ADD,Js6LySzcEQ,77202.04 
[2329] BUY,L3qfH51ukK,UUG,577.47 
[2330] COMMIT_SELL,r9sY6ykQwB 
[2331] CANCEL_BUY,kHMjwfSx2P 
[2332] BUY,mZFoN64osd,VQZ,415.08 
[2333] BUY,tK1JNuy0li,YRS,464.82 
[2334] COMMIT_BUY,La1eSbNL6p 
[2335] SELL,bfIjLoap9T,BMJ,545.13 
[2336] DISPLAY_SUMMARY,QPKBykFnxr 
[2337] CANCEL_SELL,TMxB3eAn63 
[2338] CANCEL_SELL,BDty3gMxBy 
[2339] QUOTE,R4lbhHC1hS,GGV 
[2340] DISPLAY_SUMMARY,qEVRIEnox8 
[2341] SELL,CvCH8jPh2i,WXZ,630.46 
[2342] COMMIT_SELL,yAAurFarHT 
[2343] DISPLAY_SUMMARY,qkUYmnHXvb 
[2344] CANCEL_SELL,h0Ib8LzTs9 
[2345] COMMIT_BUY,NmALn2RmzI 
[2346] COMMIT_SELL,bfIjLoap9T 
[2347] BUY,jK70t6xffU,NPD,617.68 
[2348] QUOTE,qEVRIEnox8,STS 
[2349] COMMIT_BUY,ItaC6MIk2c 
[2350] QUOTE,R4lbhHC1hS,XYR 
[2351] QUOTE,PDwyOp2gzv,CRJ 
[2352] SET_BUY_AMOUNT,mZFoN64osd,XYR,544.31 
[2353] COMMIT_SELL,r9sY6ykQwB 
[2354] CANCEL_BUY,kHMjwfSx2P 
[2355] CANCEL_BUY,BDty3gMxBy 
[2356] SET_SELL_TRIGGER,13VC8b11Q6,PZL,11.64 
[2357] BUY,kHMjwfSx2P,UPQ,661.27 
[2358] CANCEL_SET_BUY,13VC8b11Q6,MFG 
[2359] BUY,BDty3gMxBy,BFA,8.88 
[2360] BUY,CxzX2w8DmS,MFC,620.97 
[2361] SET_SELL_TRIGGER,YET2WF8iGL,GGV,28.24 
[2362] CANCEL_SET_SELL,wMcCWGxtZb,TNV 
[2363] QUOTE,RtgbNlNQ82,VAL 
[2364] QUOTE,wMcCWGxtZb,CXT 
[2365] SET_BUY_AMOUNT,LHA4yFlv3r,WXZ,436.55 
[2366] BUY,qoExOgAPyd,XYC,300.69 
[2367] CANCEL_BUY,jK70t6xffU 
[2368] CANCEL_SET_SELL,Js6LySzcEQ,KUZ 
[2369] SET_BUY_AMOUNT,CvCH8jPh2i,BMJ,514.40 
[2370] BUY,E5CusuUGY3,HMX,676.55 
[2371] COMMIT_BUY,e6Ql5cbsux 
[2372] SELL,qEVRIEnox8,BMJ,38.50 
[2373] ADD,mMQlpMeOfD,80022.33 
[2374] CANCEL_SELL,uspV5YXJSf 
[2375] SET_BUY_TRIGGER,PDwyOp2gzv,HZQ,190.18 
[2376] QUOTE,13VC8b11Q6,SUN 
[2377] DISPLAY_SUMMARY,IkWXoni8ti 
[2378] COMMIT_SELL,whcYxtH67L 
[2379] ADD,TMxB3eAn63,68825.18 
[2380] CANCEL_SET_SELL,yAAurFarHT,DKJ 
[2381] COMMIT_BUY,E5CusuUGY3 
[2382] CANCEL_SET_SELL,13VC8b11Q6,JLX 
[2383] DISPLAY_SUMMARY,jK70t6xffU 
[2384] SELL,r9sY6ykQwB,BMJ,640.33 
[2385] QUOTE,BxWlges22v,UPQ 
[2386] CANCEL_SET_BUY,Kt8I7sdBcS,YRS 
[2387] CANCEL_SET_BUY,tK1JNuy0li,YRS 
[2388] BUY,13VC8b11Q6,MFC,633.78 
[2389] CANCEL_SET_BUY,h0Ib8LzTs9,UDM 
[2390] CANCEL_BUY,YIgPFTE1M7 
[2391] SELL,CvCH8jPh2i,XTF,256.16 
[2392] SELL,RtgbNlNQ82,WXZ,560.58 
[2393] CANCEL_BUY,Z14JubX5Uv 
[2394] BUY,IkWXoni8ti,GGR,739.53 
[2395] ADD,jK70t6xffU,83337.59 
[2396] BUY,YIgPFTE1M7,LED,65.49 
[2397] CANCEL_BUY,zVGmOyE2TY 
[2398] BUY,mMQlpMeOfD,SLF,74.00 
[2399] BUY,jK70t6xffU,SBK,743.04 
[2400] BUY,R4lbhHC1hS,CXT,293.25 
[2401] BUY,h0Ib8LzTs9,ZJI,367.73 
[2402] CANCEL_BUY,zVGmOyE2TY 
[2403] QUOTE,La1eSbNL6p,LNW 
[2404] ADD,pz8HIUVPXH,104639.31 
[2405] CANCEL_BUY,R4lbhHC1hS 
[2406] COMMIT_SELL,qEVRIEnox8 
[2407] COMMIT_SELL,r9sY6ykQwB 
[2408] QUOTE,qoExOgAPyd,TYW 
[2409] SET_SELL_AMOUNT,r9sY6ykQwB,BMJ,332.12 
[2410] SET_SELL_TRIGGER,YET2WF8iGL,YZB,101.48 
[2411] COMMIT_BUY,13VC8b11Q6 
[2412] SET_BUY_TRIGGER,mZFoN64osd,RDD,110.75 
[2413] SET_SELL_AMOUNT,JPE6oMVt1b,XTF,631.38 
[2414] COMMIT_BUY,kHMjwfSx2P 
[2415] BUY,wMcCWGxtZb,BXC,165.23 
[2416] COMMIT_BUY,uspV5YXJSf 
[2417] ADD,La1eSbNL6p,77869.58 
[2418] SET_SELL_TRIGGER,pTZZjie7eX,WXZ,20.71 
[2419] SET_BUY_AMOUNT,YIgPFTE1M7,RPN,647.43 
[2420] CANCEL_SET_BUY,zVGmOyE2TY,HZQ 
[2421] CANCEL_SET_SELL,pz8HIUVPXH,XTF 
[2422] CANCEL_SET_BUY,izXvHOmJ6Y,SUN 
[2423] COMMIT_SELL,kHMjwfSx2P 
[2424] QUOTE,e6Ql5cbsux,ZRU 
[2425] DISPLAY_SUMMARY,13VC8b11Q6 
[2426] COMMIT_SELL,PDwyOp2gzv 
[2427] SET_BUY_AMOUNT,E9DHfAjHfd,RPN,333.32 
[2428] COMMIT_BUY,h0Ib8LzTs9 
[2429] QUOTE,qEVRIEnox8,TKB 
[2430] DISPLAY_SUMMARY,h0Ib8LzTs9 
[2431] COMMIT_BUY,BDty3gMxBy 
[2432] SELL,BxWlges22v,XTF,659.25 
[2433] SET_SELL_AMOUNT,RtgbNlNQ82,WXZ,306.53 
[2434] ADD,qkUYmnHXvb,69823.19 
[2435] BUY,RtgbNlNQ82,TKB,221.55 
[2436] COMMIT_SELL,tK1JNuy0li 
[2437] BUY,qoExOgAPyd,PGD,423.91 
[2438] ADD,NmALn2RmzI,83697.11 
[2439] ADD,kHMjwfSx2P,70839.11 
[2440] COMMIT_SELL,BxWlges22v 
[2441] ADD,QPKBykFnxr,53393.95 
[2442] COMMIT_BUY,BxWlges22v 
[2443] COMMIT_BUY,RtgbNlNQ82 
[2444] ADD,zVGmOyE2TY,77282.47 
[2445] QUOTE,qkUYmnHXvb,NOE 
[2446] QUOTE,qkUYmnHXvb,TWQ 
[2447] COMMIT_BUY,7nGIkyoUrD 
[2448] ADD,Z14JubX5Uv,69924.92 
[2449] COMMIT_SELL,CvCH8jPh2i 
[2450] DISPLAY_SUMMARY,BDty3gMxBy 
[2451] QUOTE,uspV5YXJSf,ZJI 
[2452] SET_BUY_TRIGGER,mMQlpMeOfD,EJK,47.60 
[2453] SELL,Js6LySzcEQ,WXZ,32.22 
[2454] SELL,izXvHOmJ6Y,WXZ,698.46 
[2455] SET_SELL_AMOUNT,R4lbhHC1hS,WXZ,592.96 
[2456] BUY,mMQlpMeOfD,VQZ,237.72 
[2457] SELL,pTZZjie7eX,BMJ,184.63 
[2458] COMMIT_SELL,zVGmOyE2TY 
[2459] CANCEL_SET_BUY,CvCH8jPh2i,BMJ 
[2460] COMMIT_SELL,izXvHOmJ6Y 
[2461] SET_SELL_AMOUNT,7nGIkyoUrD,RPN,328.02 
[2462] SET_SELL_TRIGGER,JPE6oMVt1b,XTF,580.51 
[2463] QUOTE,qEVRIEnox8,HJE 
[2464] SET_BUY_TRIGGER,YET2WF8iGL,DWD,50.49 
[2465] CANCEL_SELL,Z14JubX5Uv 
[2466] CANCEL_SET_SELL,YET2WF8iGL,UCS 
[2467] COMMIT_SELL,whcYxtH67L 
[2468] SELL,mZFoN64osd,RPN,657.00 
[2469] DISPLAY_SUMMARY,izXvHOmJ6Y 
[2470] SET_BUY_TRIGGER,YET2WF8iGL,PZV,117.61 
[2471] BUY,bfIjLoap9T,LPF,406.59 
[2472] SELL,h0Ib8LzTs9,RPN,273.68 
[2473] ADD,BDty3gMxBy,65856.73 
[2474] CANCEL_BUY,qoExOgAPyd 
[2475] COMMIT_SELL,PDwyOp2gzv 
[2476] QUOTE,TMxB3eAn63,KUZ 
[2477] QUOTE,zVGmOyE2TY,SWC 
[2478] SET_SELL_AMOUNT,Js6LySzcEQ,XTF,36.35 
[2479] SET_SELL_TRIGGER,7nGIkyoUrD,RPN,72.81 
[2480] SET_SELL_TRIGGER,JPE6oMVt1b,CRJ,90.04 
[2481] BUY,Js6LySzcEQ,CHG,586.47 
[2482] DISPLAY_SUMMARY,La1eSbNL6p 
[2483] DISPLAY_SUMMARY,tK1JNuy0li 
[2484] BUY,CxzX2w8DmS,KLF,203.44 
[2485] ADD,pz8HIUVPXH,89146.79 
[2486] COMMIT_BUY,Js6LySzcEQ 
[2487] SET_SELL_TRIGGER,E5CusuUGY3,MFG,124.60 
[2488] COMMIT_SELL,pTZZjie7eX 
[2489] DISPLAY_SUMMARY,r9sY6ykQwB 
[2490] SET_BUY_AMOUNT,BxWlges22v,BMJ,730.40 
[2491] SET_SELL_AMOUNT,mMQlpMeOfD,BMJ,742.64 
[2492] SET_SELL_AMOUNT,PDwyOp2gzv,BMJ,394.79 
[2493] ADD,mZFoN64osd,97951.01 
[2494] ADD,whcYxtH67L,62161.61 
[2495] COMMIT_BUY,IkWXoni8ti 
[2496] BUY,qkUYmnHXvb,MFG,336.84 
[2497] SET_SELL_AMOUNT,bfIjLoap9T,WXZ,367.11 
[2498] SET_BUY_TRIGGER,YIgPFTE1M7,BMJ,200.92 
[2499] BUY,LHA4yFlv3r,QTG,309.53 
[2500] SET_SELL_TRIGGER,bfIjLoap9T,WXZ,335.52 
[2501] BUY,izXvHOmJ6Y,UPQ,435.19 
[2502] ADD,Js6LySzcEQ,71551.37 
[2503] SET_BUY_AMOUNT,e6Ql5cbsux,RPN,73.26 
[2504] QUOTE,uspV5YXJSf,PZL 
[2505] CANCEL_SET_SELL,Kt8I7sdBcS,JBQ 
[2506] ADD,JPE6oMVt1b,57885.26 
[2507] SET_SELL_TRIGGER,R4lbhHC1hS,WXZ,526.96 
[2508] SET_BUY_TRIGGER,BxWlges22v,SWC,200.22 
[2509] CANCEL_SET_SELL,Kt8I7sdBcS,MFC 
[2510] BUY,zVGmOyE2TY,PZL,258.85 
[2511] SET_BUY_AMOUNT,13VC8b11Q6,XTF,298.16 
[2512] ADD,uspV5YXJSf,80206.58 
[2513] CANCEL_SELL,YIgPFTE1M7 
[2514] QUOTE,qkUYmnHXvb,IFV 
[2515] COMMIT_SELL,h0Ib8LzTs9 
[2516] COMMIT_BUY,wMcCWGxtZb 
[2517] CANCEL_BUY,E5CusuUGY3 
[2518] BUY,whcYxtH67L,MAP,209.03 
[2519] BUY,yAAurFarHT,UPQ,477.46 
[2520] SET_SELL_TRIGGER,YET2WF8iGL,DKJ,193.46 
[2521] CANCEL_BUY,R4lbhHC1hS 
[2522] DISPLAY_SUMMARY,LHA4yFlv3r 
[2523] COMMIT_BUY,Kt8I7sdBcS 
[2524] ADD,7nGIkyoUrD,34531.15 
[2525] SET_SELL_AMOUNT,La1eSbNL6p,WXZ,332.28 
[2526] CANCEL_BUY,R4lbhHC1hS 
[2527] COMMIT_SELL,wMcCWGxtZb 
[2528] COMMIT_SELL,YET2WF8iGL 
[2529] COMMIT_BUY,jK70t6xffU 
[2530] DISPLAY_SUMMARY,CvCH8jPh2i 
[2531] CANCEL_SET_BUY,h0Ib8LzTs9,NPD 
[2532] QUOTE,kHMjwfSx2P,YNA 
[2533] BUY,Js6LySzcEQ,SRN,692.64 
[2534] COMMIT_BUY,YIgPFTE1M7 
[2535] COMMIT_BUY,izXvHOmJ6Y 
[2536] SELL,IkWXoni8ti,BMJ,169.20 
[2537] BUY,NmALn2RmzI,BXC,159.85 
[2538] BUY,BDty3gMxBy,WGD,608.66 
[2539] COMMIT_BUY,NmALn2RmzI 
[2540] QUOTE,mZFoN64osd,PZL 
[2541] COMMIT_BUY,yAAurFarHT 
[2542] DISPLAY_SUMMARY,E5CusuUGY3 
[2543] CANCEL_SET_BUY,YET2WF8iGL,STS 
[2544] CANCEL_BUY,qoExOgAPyd 
[2545] SELL,Kt8I7sdBcS,BMJ,25.65 
[2546] SET_SELL_TRIGGER,mMQlpMeOfD,BMJ,165.21 
[2547] SET_BUY_AMOUNT,CxzX2w8DmS,XYR,499.06 
[2548] CANCEL_SET_SELL,h0Ib8LzTs9,MFC 
[2549] DISPLAY_SUMMARY,pz8HIUVPXH 
[2550] SET_BUY_TRIGGER,CxzX2w8DmS,WVC,251.79 
[2551] DISPLAY_SUMMARY,mMQlpMeOfD 
[2552] SET_SELL_TRIGGER,E5CusuUGY3,JXE,150.93 
[2553] CANCEL_SET_BUY,13VC8b11Q6,JXE 
[2554] COMMIT_BUY,NmALn2RmzI 
[2555] QUOTE,tK1JNuy0li,UCS 
[2556] COMMIT_BUY,BxWlges22v 
[2557] COMMIT_SELL,izXvHOmJ6Y 
[2558] ADD,NmALn2RmzI,84851.72 
[2559] CANCEL_SET_SELL,Js6LySzcEQ,XTF 
[2560] COMMIT_BUY,Z14JubX5Uv 
[2561] BUY,qoExOgAPyd,PMO,353.11 
[2562] COMMIT_BUY,qoExOgAPyd 
[2563] COMMIT_BUY,TMxB3eAn63 
[2564] QUOTE,RtgbNlNQ82,NAI 
[2565] CANCEL_SET_SELL,La1eSbNL6p,WXZ 
[2566] SET_BUY_AMOUNT,R4lbhHC1hS,BMJ,482.07 
[2567] COMMIT_BUY,ItaC6MIk2c 
[2568] BUY,kHMjwfSx2P,LED,410.18 
[2569] BUY,izXvHOmJ6Y,RPF,698.95 
[2570] CANCEL_SET_BUY,e6Ql5cbsux,TWQ 
[2571] COMMIT_SELL,IkWXoni8ti 
[2572] SELL,yAAurFarHT,XTF,354.24 
[2573] COMMIT_SELL,yAAurFarHT 
[2574] DISPLAY_SUMMARY,ItaC6MIk2c 
[2575] QUOTE,CxzX2w8DmS,TWQ 
[2576] BUY,mZFoN64osd,SFY,440.57 
[2577] COMMIT_BUY,izXvHOmJ6Y 
[2578] QUOTE,NmALn2RmzI,ACY 
[2579] QUOTE,uspV5YXJSf,KME 
[2580] DISPLAY_SUMMARY,YIgPFTE1M7 
[2581] SET_SELL_TRIGGER,YET2WF8iGL,CNC,5.29 
[2582] DISPLAY_SUMMARY,qkUYmnHXvb 
[2583] BUY,CvCH8jPh2i,PZL,520.73 
[2584] CANCEL_SET_BUY,wMcCWGxtZb,JLX 
[2585] COMMIT_BUY,ItaC6MIk2c 
[2586] DISPLAY_SUMMARY,whcYxtH67L 
[2587] QUOTE,Kt8I7sdBcS,DWD 
[2588] QUOTE,7nGIkyoUrD,KUZ 
[2589] BUY,qkUYmnHXvb,YZB,137.20 
[2590] CANCEL_SET_BUY,NmALn2RmzI,IKA 
[2591] CANCEL_SET_BUY,ItaC6MIk2c,MFC 
[2592] COMMIT_SELL,13VC8b11Q6 
[2593] CANCEL_SET_SELL,mMQlpMeOfD,MAP 
[2594] BUY,e6Ql5cbsux,PGD,139.09 
[2595] SET_SELL_AMOUNT,LHA4yFlv3r,WXZ,109.85 
[2596] SET_BUY_TRIGGER,E9DHfAjHfd,XXD,73.33 
[2597] ADD,whcYxtH67L,73283.49 
[2598] SET_SELL_TRIGGER,qkUYmnHXvb,BMJ,92.69 
[2599] COMMIT_SELL,qkUYmnHXvb 
[2600] ADD,E9DHfAjHfd,73924.94 
[2601] CANCEL_SELL,E9DHfAjHfd 
[2602] ADD,qoExOgAPyd,88201.67 
[2603] COMMIT_BUY,kHMjwfSx2P 
[2604] BUY,Kt8I7sdBcS,JNP,638.83 
[2605] BUY,tK1JNuy0li,QTG,339.30 
[2606] CANCEL_SET_BUY,NmALn2RmzI,JNP 
[2607] COMMIT_BUY,BDty3gMxBy 
[2608] DISPLAY_SUMMARY,bfIjLoap9T 
[2609] QUOTE,whcYxtH67L,RNJ 
[2610] COMMIT_BUY,mZFoN64osd 
[2611] SELL,ItaC6MIk2c,RPN,122.70 
[2612] CANCEL_BUY,13VC8b11Q6 
[2613] BUY,pTZZjie7eX,GGV,147.56 
[2614] SELL,r9sY6ykQwB,BMJ,44.70 
[2615] QUOTE,uspV5YXJSf,GWE 
[2616] DISPLAY_SUMMARY,h0Ib8LzTs9 
[2617] SELL,mMQlpMeOfD,BMJ,134.34 
