[1] ADD,umhaEY4lil,91628.00 
[1611] BUY,CqOb5G0hB4,ZQG,142.31 
[1612] ADD,BqhMWgFe1n,53911.88 
[1613] BUY,LwNQpkd8mr,MGF,66.11 
[1614] SELL,xFrzsBbeiS,MAO,443.39 
[1615] COMMIT_BUY,ojovZ9YLZM 
[1616] COMMIT_SELL,xFrzsBbeiS 
[1617] BUY,umhaEY4lil,FPH,565.78 
[1618] COMMIT_BUY,CqOb5G0hB4 
[1619] DISPLAY_SUMMARY,jzi5Fg2GGS 
[1620] COMMIT_BUY,LwNQpkd8mr 
[1621] SELL,jzi5Fg2GGS,EZK,476.48 
[1622] COMMIT_SELL,jzi5Fg2GGS 
[1623] CANCEL_SET_SELL,jzi5Fg2GGS,JZV 
[1624] QUOTE,xFrzsBbeiS,VZP 
[1625] BUY,LwNQpkd8mr,JHH,397.68 
[1626] DISPLAY_SUMMARY,CqOb5G0hB4 
[1627] CANCEL_SET_SELL,w69hSQMdyy,VZP 
[1628] SELL,kul4JJSoHc,IHA,645.22 
[1629] DISPLAY_SUMMARY,umhaEY4lil 
[1630] COMMIT_BUY,LwNQpkd8mr 
[1631] CANCEL_SET_SELL,sYJRWa0Mih,XZF 
[1632] DISPLAY_SUMMARY,umhaEY4lil 
[1633] ADD,umhaEY4lil,83496.58 
[1634] CANCEL_SET_BUY,ojovZ9YLZM,BUK 
[1635] COMMIT_SELL,kul4JJSoHc 
[1636] SET_SELL_AMOUNT,jzi5Fg2GGS,RGP,366.41 
[1637] CANCEL_SET_BUY,ojovZ9YLZM,QLE 
[1638] CANCEL_BUY,CqOb5G0hB4 
[1639] CANCEL_SET_SELL,CqOb5G0hB4,MAO 
[1640] BUY,sYJRWa0Mih,UTF,27.05 
[1641] QUOTE,BqhMWgFe1n,CMO 
[1642] ADD,xFrzsBbeiS,38153.61 
[1643] BUY,sYJRWa0Mih,BUK,178.45 
[1644] COMMIT_SELL,kul4JJSoHc 
[1645] CANCEL_SELL,LwNQpkd8mr 
[1646] QUOTE,kul4JJSoHc,CAK 
[1647] COMMIT_SELL,w69hSQMdyy 
[1648] QUOTE,kul4JJSoHc,GJT 
[1649] QUOTE,LwNQpkd8mr,CMO 
[1650] CANCEL_SELL,LwNQpkd8mr 
[1651] SET_BUY_TRIGGER,CqOb5G0hB4,AME,66.35 
[1652] SET_SELL_AMOUNT,ojovZ9YLZM,JHH,493.88 
[1653] BUY,xFrzsBbeiS,QLE,339.88 
[1654] DISPLAY_SUMMARY,sYJRWa0Mih 
[1655] COMMIT_BUY,sYJRWa0Mih 
[1656] SET_SELL_AMOUNT,w69hSQMdyy,ZQG,31.53 
[1657] CANCEL_BUY,sYJRWa0Mih 
[1658] CANCEL_SET_SELL,LwNQpkd8mr,UTF 
[1659] ADD,CqOb5G0hB4,74270.68 
[1660] SET_SELL_TRIGGER,jzi5Fg2GGS,RGP,73.24 
[1661] BUY,jzi5Fg2GGS,VZP,374.27 
[1662] BUY,BqhMWgFe1n,HWU,309.08 
[1663] SET_SELL_TRIGGER,w69hSQMdyy,ZQG,2.96 
[1664] SET_SELL_TRIGGER,ojovZ9YLZM,JHH,34.62 
[1665] CANCEL_SET_BUY,BqhMWgFe1n,WKQ 
[1666] CANCEL_SET_BUY,kul4JJSoHc,VNG 
[1667] SET_BUY_AMOUNT,ojovZ9YLZM,GAM,373.59 
[1668] SET_SELL_AMOUNT,umhaEY4lil,MGF,170.55 
[1669] SET_SELL_TRIGGER,kul4JJSoHc,FCT,166.80 
[1670] QUOTE,CqOb5G0hB4,WMG 
[1671] CANCEL_SELL,sYJRWa0Mih 
[1672] COMMIT_BUY,xFrzsBbeiS 
[1673] BUY,kul4JJSoHc,BKM,533.66 
[1674] COMMIT_BUY,kul4JJSoHc 
[1675] COMMIT_BUY,jzi5Fg2GGS 
[1676] QUOTE,w69hSQMdyy,XRS 
[1677] SET_SELL_TRIGGER,umhaEY4lil,MGF,118.54 
[1678] CANCEL_BUY,LwNQpkd8mr 
[1679] BUY,CqOb5G0hB4,UJD,176.47 
[1680] SET_BUY_TRIGGER,xFrzsBbeiS,CDQ,57.68 
[1681] COMMIT_SELL,kul4JJSoHc 
[1682] QUOTE,BqhMWgFe1n,CMO 
[1683] COMMIT_BUY,umhaEY4lil 
[1684] CANCEL_SET_BUY,xFrzsBbeiS,QLE 
[1685] COMMIT_SELL,xFrzsBbeiS 
[1686] CANCEL_BUY,xFrzsBbeiS 
[1687] SET_BUY_TRIGGER,ojovZ9YLZM,HWU,296.40 
[1688] ADD,xFrzsBbeiS,59000.16 
[1689] CANCEL_BUY,umhaEY4lil 
[1690] BUY,w69hSQMdyy,WKQ,574.39 
[1691] QUOTE,CqOb5G0hB4,BKM 
[1692] QUOTE,xFrzsBbeiS,XZF 
[1693] SELL,sYJRWa0Mih,CAK,675.01 
[1694] CANCEL_SELL,sYJRWa0Mih 
[1695] CANCEL_SELL,ojovZ9YLZM 
[1696] ADD,umhaEY4lil,58399.37 
[1697] QUOTE,umhaEY4lil,HBB 
[1698] ADD,LwNQpkd8mr,72277.63 
[1699] BUY,umhaEY4lil,FCT,647.48 
[1700] CANCEL_SELL,sYJRWa0Mih 
[1701] CANCEL_SET_SELL,xFrzsBbeiS,CMO 
[1702] SET_SELL_AMOUNT,w69hSQMdyy,YGD,225.69 
[1703] SET_BUY_TRIGGER,jzi5Fg2GGS,HLU,150.61 
[1704] COMMIT_BUY,BqhMWgFe1n 
[1705] ADD,sYJRWa0Mih,64947.35 
[1706] SET_BUY_AMOUNT,sYJRWa0Mih,CAK,102.85 
[1707] CANCEL_SET_SELL,umhaEY4lil,WKQ 
[1708] CANCEL_SET_BUY,jzi5Fg2GGS,FCT 
[1709] DISPLAY_SUMMARY,ojovZ9YLZM 
[1710] SET_BUY_TRIGGER,CqOb5G0hB4,EZK,158.26 
[1711] CANCEL_SET_SELL,kul4JJSoHc,BKM 
[1712] CANCEL_SET_BUY,umhaEY4lil,BUK 
[1713] CANCEL_SET_BUY,ojovZ9YLZM,AUJ 
[1714] COMMIT_BUY,ojovZ9YLZM 
[1715] CANCEL_SET_BUY,ojovZ9YLZM,HLU 
[1716] ADD,kul4JJSoHc,84561.41 
[1717] SET_BUY_TRIGGER,sYJRWa0Mih,VZP,14.70 
[1718] DISPLAY_SUMMARY,jzi5Fg2GGS 
[1719] DISPLAY_SUMMARY,ojovZ9YLZM 
[1720] SELL,sYJRWa0Mih,JHH,417.43 
[1721] CANCEL_SET_SELL,w69hSQMdyy,YGD 
[1722] BUY,w69hSQMdyy,XAG,13.69 
[1723] SELL,umhaEY4lil,GTQ,343.68 
[1724] CANCEL_SET_BUY,xFrzsBbeiS,CMO 
[1725] SELL,xFrzsBbeiS,MAO,565.41 
[1726] COMMIT_SELL,xFrzsBbeiS 
[1727] QUOTE,kul4JJSoHc,JGF 
[1728] BUY,LwNQpkd8mr,AUJ,671.27 
[1729] CANCEL_SET_BUY,jzi5Fg2GGS,ACY 
[1730] SELL,xFrzsBbeiS,JZV,0.43 
[1731] COMMIT_BUY,xFrzsBbeiS 
[1732] CANCEL_SELL,jzi5Fg2GGS 
[1733] CANCEL_SET_BUY,BqhMWgFe1n,CDQ 
[1734] SET_SELL_TRIGGER,xFrzsBbeiS,EWK,38.16 
[1735] BUY,kul4JJSoHc,CAK,525.24 
[1736] COMMIT_BUY,w69hSQMdyy 
[1737] ADD,CqOb5G0hB4,68391.45 
[1738] COMMIT_BUY,kul4JJSoHc 
[1739] CANCEL_SELL,kul4JJSoHc 
[1740] CANCEL_SELL,ojovZ9YLZM 
[1741] BUY,umhaEY4lil,UTF,568.91 
[1742] DISPLAY_SUMMARY,kul4JJSoHc 
[1743] QUOTE,jzi5Fg2GGS,XZF 
[1744] DISPLAY_SUMMARY,BqhMWgFe1n 
[1745] COMMIT_SELL,BqhMWgFe1n 
[1746] BUY,CqOb5G0hB4,GPV,199.39 
[1747] SET_BUY_TRIGGER,ojovZ9YLZM,ZQG,192.58 
[1748] COMMIT_BUY,w69hSQMdyy 
[1749] DISPLAY_SUMMARY,xFrzsBbeiS 
[1750] BUY,jzi5Fg2GGS,RGP,32.16 
[1751] COMMIT_BUY,CqOb5G0hB4 
[1752] SELL,kul4JJSoHc,MAO,538.98 
[1753] COMMIT_BUY,BqhMWgFe1n 
[1754] CANCEL_SELL,kul4JJSoHc 
[1755] ADD,ojovZ9YLZM,85202.38 
[1756] COMMIT_BUY,w69hSQMdyy 
[1757] BUY,sYJRWa0Mih,ZQG,32.01 
[1758] QUOTE,w69hSQMdyy,XRS 
[1759] SET_BUY_AMOUNT,ojovZ9YLZM,ZQG,565.32 
[1760] ADD,sYJRWa0Mih,62869.80 
[1761] DISPLAY_SUMMARY,CqOb5G0hB4 
[1762] QUOTE,w69hSQMdyy,XAG 
[1763] SET_BUY_TRIGGER,umhaEY4lil,PXL,142.24 
[1764] SET_BUY_TRIGGER,ojovZ9YLZM,MPD,9.79 
[1765] BUY,ojovZ9YLZM,FCT,564.93 
[1766] CANCEL_BUY,jzi5Fg2GGS 
[1767] SET_SELL_TRIGGER,ojovZ9YLZM,MPD,90.24 
[1768] QUOTE,w69hSQMdyy,WPJ 
[1769] COMMIT_BUY,LwNQpkd8mr 
[1770] SELL,kul4JJSoHc,IHA,79.42 
[1771] ADD,umhaEY4lil,71034.22 
[1772] SELL,CqOb5G0hB4,CAK,280.46 
[1773] ADD,ojovZ9YLZM,75978.88 
[1774] COMMIT_BUY,ojovZ9YLZM 
[1775] SET_BUY_AMOUNT,ojovZ9YLZM,BKM,440.95 
[1776] QUOTE,w69hSQMdyy,HWU 
[1777] QUOTE,umhaEY4lil,EWK 
[1778] COMMIT_SELL,kul4JJSoHc 
[1779] ADD,w69hSQMdyy,86744.89 
[1780] BUY,LwNQpkd8mr,VZP,209.29 
[1781] SET_BUY_TRIGGER,ojovZ9YLZM,ACY,99.52 
[1782] BUY,ojovZ9YLZM,MGF,625.05 
[1783] DISPLAY_SUMMARY,kul4JJSoHc 
[1784] COMMIT_BUY,LwNQpkd8mr 
[1785] SET_BUY_AMOUNT,umhaEY4lil,MAO,238.62 
[1786] BUY,w69hSQMdyy,FPH,395.01 
[1787] COMMIT_BUY,ojovZ9YLZM 
[1788] COMMIT_BUY,w69hSQMdyy 
[1789] BUY,umhaEY4lil,PXL,406.95 
[1790] QUOTE,w69hSQMdyy,WPJ 
[1791] COMMIT_BUY,umhaEY4lil 
[1792] CANCEL_BUY,xFrzsBbeiS 
[1793] DISPLAY_SUMMARY,umhaEY4lil 
[1794] ADD,LwNQpkd8mr,79306.77 
[1795] COMMIT_SELL,sYJRWa0Mih 
[1796] ADD,BqhMWgFe1n,65684.88 
[1797] CANCEL_SET_BUY,CqOb5G0hB4,WPJ 
[1798] CANCEL_SELL,kul4JJSoHc 
[1799] SET_SELL_TRIGGER,CqOb5G0hB4,CDQ,22.08 
[1800] QUOTE,LwNQpkd8mr,XAG 
[1801] COMMIT_SELL,xFrzsBbeiS 
[1802] COMMIT_BUY,kul4JJSoHc 
[1803] SELL,xFrzsBbeiS,GTQ,273.75 
[1804] COMMIT_SELL,xFrzsBbeiS 
[1805] COMMIT_SELL,jzi5Fg2GGS 
[1806] DISPLAY_SUMMARY,sYJRWa0Mih 
[1807] QUOTE,w69hSQMdyy,NZO 
[1808] SET_SELL_TRIGGER,xFrzsBbeiS,UTF,172.35 
[1809] QUOTE,BqhMWgFe1n,EWK 
[1810] ADD,sYJRWa0Mih,49423.40 
[1811] SELL,kul4JJSoHc,JZV,537.45 
[1812] QUOTE,umhaEY4lil,GTQ 
[1813] BUY,sYJRWa0Mih,BKM,481.58 
[1814] BUY,CqOb5G0hB4,QLE,117.64 
[1815] QUOTE,LwNQpkd8mr,XAG 
[1816] QUOTE,w69hSQMdyy,QLE 
[1817] CANCEL_SET_SELL,BqhMWgFe1n,YGD 
[1818] COMMIT_BUY,BqhMWgFe1n 
[1819] QUOTE,BqhMWgFe1n,YGD 
[1820] COMMIT_BUY,jzi5Fg2GGS 
[1821] DISPLAY_SUMMARY,jzi5Fg2GGS 
[1822] CANCEL_SET_BUY,ojovZ9YLZM,QLE 
[1823] DISPLAY_SUMMARY,w69hSQMdyy 
[1824] CANCEL_BUY,ojovZ9YLZM 
[1825] COMMIT_SELL,kul4JJSoHc 
[1826] ADD,umhaEY4lil,59711.97 
[1827] BUY,ojovZ9YLZM,JHH,256.26 
[1828] SELL,xFrzsBbeiS,MAO,83.30 
[1829] SET_SELL_TRIGGER,CqOb5G0hB4,THF,112.51 
[1830] COMMIT_SELL,xFrzsBbeiS 
[1831] SELL,xFrzsBbeiS,GTQ,698.35 
[1832] QUOTE,jzi5Fg2GGS,OOP 
[1833] DISPLAY_SUMMARY,LwNQpkd8mr 
[1834] CANCEL_SET_SELL,xFrzsBbeiS,FCT 
[1835] CANCEL_SET_SELL,LwNQpkd8mr,JHH 
[1836] BUY,umhaEY4lil,UTF,547.43 
[1837] SELL,xFrzsBbeiS,JIK,549.76 
[1838] SET_BUY_AMOUNT,umhaEY4lil,JZV,44.37 
[1839] SET_SELL_TRIGGER,w69hSQMdyy,OWG,162.77 
[1840] CANCEL_SET_BUY,ojovZ9YLZM,HWU 
[1841] CANCEL_SET_BUY,jzi5Fg2GGS,GTQ 
[1842] CANCEL_BUY,CqOb5G0hB4 
[1843] ADD,LwNQpkd8mr,74975.27 
[1844] DISPLAY_SUMMARY,LwNQpkd8mr 
[1845] CANCEL_SET_BUY,LwNQpkd8mr,EZK 
[1846] ADD,LwNQpkd8mr,55034.17 
[1847] CANCEL_SET_SELL,w69hSQMdyy,YGD 
[1848] BUY,LwNQpkd8mr,EWK,195.49 
[1849] BUY,CqOb5G0hB4,JIS,451.61 
[1850] COMMIT_BUY,LwNQpkd8mr 
[1851] COMMIT_SELL,kul4JJSoHc 
[1852] QUOTE,ojovZ9YLZM,WMG 
[1853] QUOTE,BqhMWgFe1n,ACY 
[1854] CANCEL_SET_SELL,BqhMWgFe1n,OWG 
[1855] COMMIT_BUY,sYJRWa0Mih 
[1856] ADD,ojovZ9YLZM,74371.27 
[1857] QUOTE,ojovZ9YLZM,JHH 
[1858] ADD,xFrzsBbeiS,86606.18 
[1859] BUY,ojovZ9YLZM,JIS,568.81 
[1860] CANCEL_SET_BUY,jzi5Fg2GGS,MGF 
[1861] SELL,w69hSQMdyy,JZV,41.20 
[1862] CANCEL_SELL,w69hSQMdyy 
[1863] COMMIT_BUY,CqOb5G0hB4 
[1864] COMMIT_BUY,ojovZ9YLZM 
[1865] COMMIT_SELL,w69hSQMdyy 
[1866] BUY,xFrzsBbeiS,CAK,635.12 
[1867] COMMIT_BUY,xFrzsBbeiS 
[1868] DISPLAY_SUMMARY,CqOb5G0hB4 
[1869] DISPLAY_SUMMARY,LwNQpkd8mr 
[1870] SET_BUY_AMOUNT,BqhMWgFe1n,THF,31.09 
[1871] SET_SELL_AMOUNT,jzi5Fg2GGS,JGF,164.37 
[1872] COMMIT_SELL,w69hSQMdyy 
[1873] BUY,jzi5Fg2GGS,PXL,438.48 
[1874] SET_BUY_TRIGGER,BqhMWgFe1n,GJT,29.09 
[1875] SET_BUY_TRIGGER,umhaEY4lil,PXL,40.97 
[1876] QUOTE,BqhMWgFe1n,EZK 
[1877] COMMIT_BUY,kul4JJSoHc 
[1878] ADD,w69hSQMdyy,73674.38 
[1879] SET_SELL_TRIGGER,sYJRWa0Mih,AUJ,86.78 
[1880] SELL,kul4JJSoHc,JZV,362.23 
[1881] QUOTE,w69hSQMdyy,JGF 
[1882] COMMIT_SELL,CqOb5G0hB4 
[1883] COMMIT_SELL,kul4JJSoHc 
[1884] SET_SELL_TRIGGER,CqOb5G0hB4,ACY,66.42 
[1885] QUOTE,ojovZ9YLZM,WPJ 
[1886] ADD,BqhMWgFe1n,72474.64 
[1887] DISPLAY_SUMMARY,kul4JJSoHc 
[1888] SET_SELL_TRIGGER,ojovZ9YLZM,EWK,169.80 
[1889] SELL,ojovZ9YLZM,RGP,160.59 
[1890] COMMIT_BUY,jzi5Fg2GGS 
[1891] SELL,xFrzsBbeiS,MAO,501.04 
[1892] COMMIT_BUY,kul4JJSoHc 
[1893] SET_BUY_TRIGGER,ojovZ9YLZM,NZO,80.12 
[1894] COMMIT_SELL,xFrzsBbeiS 
[1895] SELL,xFrzsBbeiS,IHA,621.11 
[1896] COMMIT_SELL,xFrzsBbeiS 
[1897] SELL,kul4JJSoHc,GTQ,650.91 
[1898] CANCEL_SELL,xFrzsBbeiS 
[1899] CANCEL_BUY,CqOb5G0hB4 
[1900] COMMIT_BUY,ojovZ9YLZM 
[1901] CANCEL_SET_BUY,umhaEY4lil,VZP 
[1902] DISPLAY_SUMMARY,ojovZ9YLZM 
[1903] COMMIT_BUY,CqOb5G0hB4 
[1904] DISPLAY_SUMMARY,ojovZ9YLZM 
[1905] ADD,jzi5Fg2GGS,76093.47 
[1906] QUOTE,sYJRWa0Mih,MPD 
[1907] CANCEL_SET_SELL,ojovZ9YLZM,WMG 
[1908] ADD,xFrzsBbeiS,88239.72 
[1909] BUY,w69hSQMdyy,CDQ,153.12 
[1910] SELL,LwNQpkd8mr,JIK,361.35 
[1911] BUY,jzi5Fg2GGS,VNG,430.77 
[1912] COMMIT_BUY,LwNQpkd8mr 
[1913] QUOTE,BqhMWgFe1n,JIK 
[1914] ADD,umhaEY4lil,91726.37 
[1915] QUOTE,kul4JJSoHc,BKM 
[1916] BUY,BqhMWgFe1n,HWU,207.27 
[1917] SELL,CqOb5G0hB4,VNG,430.91 
[1918] DISPLAY_SUMMARY,sYJRWa0Mih 
[1919] SET_SELL_TRIGGER,LwNQpkd8mr,QDS,153.06 
[1920] COMMIT_SELL,jzi5Fg2GGS 
[1921] DISPLAY_SUMMARY,sYJRWa0Mih 
[1922] CANCEL_BUY,w69hSQMdyy 
[1923] BUY,umhaEY4lil,WPJ,289.39 
[1924] ADD,ojovZ9YLZM,54622.94 
[1925] DISPLAY_SUMMARY,w69hSQMdyy 
[1926] BUY,xFrzsBbeiS,HLU,3.50 
[1927] CANCEL_BUY,w69hSQMdyy 
[1928] CANCEL_SET_BUY,w69hSQMdyy,WMG 
[1929] COMMIT_SELL,sYJRWa0Mih 
[1930] CANCEL_SELL,umhaEY4lil 
[1931] ADD,kul4JJSoHc,73081.27 
[1932] BUY,LwNQpkd8mr,UJD,430.23 
[1933] COMMIT_BUY,BqhMWgFe1n 
[1934] ADD,umhaEY4lil,78833.23 
[1935] SELL,w69hSQMdyy,XZF,70.44 
[1936] CANCEL_SELL,jzi5Fg2GGS 
[1937] QUOTE,jzi5Fg2GGS,AUJ 
[1938] COMMIT_BUY,LwNQpkd8mr 
[1939] QUOTE,ojovZ9YLZM,CDQ 
[1940] COMMIT_SELL,w69hSQMdyy 
[1941] SELL,BqhMWgFe1n,THF,142.42 
[1942] QUOTE,sYJRWa0Mih,ZQG 
[1943] BUY,umhaEY4lil,GAM,612.08 
[1944] SET_BUY_TRIGGER,LwNQpkd8mr,IHA,178.03 
[1945] SET_SELL_AMOUNT,jzi5Fg2GGS,GAM,228.38 
[1946] SET_BUY_AMOUNT,umhaEY4lil,GTQ,19.60 
[1947] QUOTE,LwNQpkd8mr,WMG 
[1948] BUY,jzi5Fg2GGS,UTF,246.35 
[1949] QUOTE,sYJRWa0Mih,XAG 
[1950] COMMIT_SELL,CqOb5G0hB4 
[1951] BUY,w69hSQMdyy,HLU,97.82 
[1952] QUOTE,ojovZ9YLZM,FCT 
[1953] SET_BUY_TRIGGER,umhaEY4lil,YGD,10.09 
[1954] COMMIT_SELL,BqhMWgFe1n 
[1955] COMMIT_BUY,jzi5Fg2GGS 
[1956] BUY,sYJRWa0Mih,FCT,122.45 
[1957] BUY,ojovZ9YLZM,THF,429.25 
[1958] BUY,LwNQpkd8mr,QRQ,92.98 
[1959] SELL,jzi5Fg2GGS,GTQ,47.77 
[1960] COMMIT_SELL,w69hSQMdyy 
[1961] DISPLAY_SUMMARY,sYJRWa0Mih 
[1962] QUOTE,LwNQpkd8mr,PXL 
[1963] SELL,xFrzsBbeiS,GTQ,84.74 
[1964] QUOTE,kul4JJSoHc,AME 
[1965] CANCEL_BUY,BqhMWgFe1n 
[1966] ADD,kul4JJSoHc,66039.65 
[1967] CANCEL_BUY,LwNQpkd8mr 
[1968] COMMIT_SELL,xFrzsBbeiS 
[1969] SELL,jzi5Fg2GGS,XZF,332.20 
[1970] BUY,sYJRWa0Mih,VNG,474.56 
[1971] COMMIT_SELL,xFrzsBbeiS 
[1972] CANCEL_BUY,xFrzsBbeiS 
[1973] DISPLAY_SUMMARY,xFrzsBbeiS 
[1974] COMMIT_BUY,sYJRWa0Mih 
[1975] CANCEL_SET_SELL,sYJRWa0Mih,XZF 
[1976] CANCEL_SELL,umhaEY4lil 
[1977] ADD,sYJRWa0Mih,107429.77 
[1978] COMMIT_SELL,jzi5Fg2GGS 
[1979] CANCEL_SET_BUY,BqhMWgFe1n,RGP 
[1980] QUOTE,kul4JJSoHc,YGD 
[1981] COMMIT_BUY,ojovZ9YLZM 
[1982] SET_SELL_AMOUNT,jzi5Fg2GGS,EZK,53.53 
[1983] SET_BUY_TRIGGER,xFrzsBbeiS,UTF,104.34 
[1984] BUY,sYJRWa0Mih,JZV,711.86 
[1985] SET_BUY_TRIGGER,LwNQpkd8mr,EZK,101.26 
[1986] COMMIT_BUY,w69hSQMdyy 
[1987] COMMIT_SELL,BqhMWgFe1n 
[1988] SET_SELL_TRIGGER,jzi5Fg2GGS,EZK,0.21 
[1989] COMMIT_BUY,sYJRWa0Mih 
[1990] ADD,xFrzsBbeiS,82839.22 
[1991] SET_BUY_AMOUNT,jzi5Fg2GGS,RGP,464.00 
[1992] COMMIT_BUY,kul4JJSoHc 
[1993] QUOTE,sYJRWa0Mih,WMG 
[1994] COMMIT_SELL,kul4JJSoHc 
[1995] SELL,CqOb5G0hB4,MGF,93.29 
[1996] QUOTE,sYJRWa0Mih,VZP 
[1997] ADD,w69hSQMdyy,57235.70 
[1998] BUY,CqOb5G0hB4,VNG,23.32 
[1999] BUY,xFrzsBbeiS,JEM,55.46 
[2000] CANCEL_SET_BUY,umhaEY4lil,JIS 
[2001] CANCEL_BUY,kul4JJSoHc 
[2002] SET_BUY_AMOUNT,ojovZ9YLZM,MGF,307.61 
[2003] BUY,LwNQpkd8mr,MGF,51.49 
[2004] QUOTE,umhaEY4lil,QRQ 
[2005] BUY,CqOb5G0hB4,QRQ,589.91 
[2006] CANCEL_BUY,sYJRWa0Mih 
[2007] QUOTE,umhaEY4lil,UTF 
[2008] COMMIT_BUY,xFrzsBbeiS 
[2009] CANCEL_SELL,kul4JJSoHc 
[2010] ADD,kul4JJSoHc,82178.18 
[2011] CANCEL_BUY,sYJRWa0Mih 
[2012] SET_SELL_TRIGGER,xFrzsBbeiS,GPV,94.02 
[2013] SET_SELL_TRIGGER,BqhMWgFe1n,VNG,38.23 
[2014] DISPLAY_SUMMARY,xFrzsBbeiS 
[2015] SET_SELL_AMOUNT,LwNQpkd8mr,GAM,95.93 
[2016] SET_BUY_TRIGGER,jzi5Fg2GGS,ACY,389.09 
[2017] COMMIT_SELL,xFrzsBbeiS 
[2018] COMMIT_BUY,CqOb5G0hB4 
[2019] BUY,kul4JJSoHc,OOP,312.88 
[2020] ADD,xFrzsBbeiS,80503.63 
[2021] QUOTE,xFrzsBbeiS,BKM 
[2022] QUOTE,CqOb5G0hB4,MPD 
[2023] CANCEL_SET_SELL,sYJRWa0Mih,GTQ 
[2024] ADD,BqhMWgFe1n,81399.07 
[2025] SET_SELL_TRIGGER,CqOb5G0hB4,WMG,147.41 
[2026] SELL,w69hSQMdyy,THF,348.25 
[2027] CANCEL_BUY,kul4JJSoHc 
[2028] COMMIT_SELL,sYJRWa0Mih 
[2029] QUOTE,CqOb5G0hB4,JEM 
[2030] BUY,umhaEY4lil,XRS,260.18 
[2031] SELL,w69hSQMdyy,BKM,357.61 
[2032] DISPLAY_SUMMARY,CqOb5G0hB4 
[2033] DISPLAY_SUMMARY,CqOb5G0hB4 
[2034] QUOTE,BqhMWgFe1n,GJT 
[2035] CANCEL_SET_SELL,CqOb5G0hB4,MGF 
[2036] BUY,kul4JJSoHc,WMG,590.57 
[2037] SET_SELL_AMOUNT,BqhMWgFe1n,IHA,15.53 
[2038] CANCEL_SELL,kul4JJSoHc 
[2039] SET_BUY_TRIGGER,ojovZ9YLZM,WPJ,256.91 
[2040] SELL,umhaEY4lil,GTQ,25.08 
[2041] COMMIT_BUY,kul4JJSoHc 
[2042] SELL,xFrzsBbeiS,JZV,159.55 
[2043] QUOTE,w69hSQMdyy,HBB 
[2044] COMMIT_SELL,jzi5Fg2GGS 
[2045] QUOTE,kul4JJSoHc,XRS 
[2046] CANCEL_SET_BUY,ojovZ9YLZM,HBB 
[2047] COMMIT_SELL,umhaEY4lil 
[2048] SET_SELL_TRIGGER,BqhMWgFe1n,IHA,2.51 
[2049] COMMIT_SELL,xFrzsBbeiS 
[2050] QUOTE,w69hSQMdyy,YGD 
[2051] SET_BUY_AMOUNT,BqhMWgFe1n,JHH,675.24 
[2052] SELL,jzi5Fg2GGS,IHA,19.11 
[2053] SET_BUY_TRIGGER,BqhMWgFe1n,ZQG,288.89 
[2054] SET_BUY_TRIGGER,xFrzsBbeiS,FCT,110.74 
[2055] DISPLAY_SUMMARY,CqOb5G0hB4 
[2056] SET_SELL_TRIGGER,LwNQpkd8mr,GAM,66.29 
[2057] SELL,xFrzsBbeiS,JZV,307.49 
[2058] QUOTE,CqOb5G0hB4,OWG 
[2059] ADD,sYJRWa0Mih,44306.36 
[2060] BUY,CqOb5G0hB4,JZV,607.22 
[2061] BUY,sYJRWa0Mih,VNG,281.33 
[2062] COMMIT_BUY,sYJRWa0Mih 
[2063] ADD,umhaEY4lil,93055.32 
[2064] COMMIT_SELL,CqOb5G0hB4 
[2065] SELL,sYJRWa0Mih,EZK,458.47 
[2066] DISPLAY_SUMMARY,kul4JJSoHc 
[2067] COMMIT_SELL,jzi5Fg2GGS 
[2068] COMMIT_SELL,xFrzsBbeiS 
[2069] COMMIT_SELL,ojovZ9YLZM 
[2070] COMMIT_SELL,ojovZ9YLZM 
[2071] ADD,BqhMWgFe1n,45852.30 
[2072] BUY,jzi5Fg2GGS,YGD,537.01 
[2073] ADD,ojovZ9YLZM,86642.89 
[2074] COMMIT_SELL,jzi5Fg2GGS 
[2075] SET_BUY_AMOUNT,jzi5Fg2GGS,RGP,387.71 
[2076] COMMIT_SELL,LwNQpkd8mr 
[2077] BUY,umhaEY4lil,HBB,599.81 
[2078] ADD,w69hSQMdyy,53354.44 
[2079] COMMIT_BUY,LwNQpkd8mr 
[2080] SET_SELL_TRIGGER,umhaEY4lil,IHA,75.82 
[2081] COMMIT_BUY,kul4JJSoHc 
[2082] CANCEL_SELL,LwNQpkd8mr 
[2083] QUOTE,BqhMWgFe1n,VNG 
[2084] COMMIT_SELL,umhaEY4lil 
[2085] COMMIT_BUY,LwNQpkd8mr 
[2086] CANCEL_SELL,kul4JJSoHc 
[2087] SET_BUY_AMOUNT,kul4JJSoHc,GTQ,747.59 
[2088] QUOTE,ojovZ9YLZM,JHH 
[2089] CANCEL_BUY,CqOb5G0hB4 
[2090] SET_SELL_AMOUNT,LwNQpkd8mr,MGF,549.55 
[2091] SET_SELL_AMOUNT,BqhMWgFe1n,GTQ,724.54 
[2092] QUOTE,sYJRWa0Mih,JEM 
[2093] SET_BUY_TRIGGER,kul4JJSoHc,XZF,528.94 
[2094] QUOTE,sYJRWa0Mih,IHA 
[2095] ADD,xFrzsBbeiS,75782.04 
[2096] BUY,ojovZ9YLZM,ZQG,37.95 
[2097] BUY,sYJRWa0Mih,IHA,580.99 
