[1] ADD,lLn3fa1FIk,75576.00 
[8654] CANCEL_SELL,x8GMbOCXJX 
[8655] DISPLAY_SUMMARY,aMMzTGXVGg 
[8656] ADD,q0Qp5MF3CI,80944.76 
[8657] QUOTE,F0mQHf8fev,CLQ 
[8658] COMMIT_BUY,p876fU7BEx 
[8659] SET_BUY_TRIGGER,F0mQHf8fev,BSG,69.43 
[8660] ADD,uWX4TGhR6O,90516.34 
[8661] SET_BUY_TRIGGER,8xgyjkdphP,OLH,89.79 
[8662] QUOTE,q0Qp5MF3CI,YVS 
[8663] SET_SELL_TRIGGER,v2iT5RAbiA,DWC,67.97 
[8664] COMMIT_SELL,4vBuSX8YYJ 
[8665] DISPLAY_SUMMARY,qE6dGnwk51 
[8666] CANCEL_SET_BUY,HPxIuj9S6A,JCQ 
[8667] SET_BUY_TRIGGER,ugupCCzmJf,RKY,96.69 
[8668] QUOTE,LX1FeVjg6k,YAZ 
[8669] QUOTE,aMMzTGXVGg,ONI 
[8670] QUOTE,n4E566ZogW,EIH 
[8671] BUY,LX1FeVjg6k,JJW,69.84 
[8672] SET_SELL_TRIGGER,D6zA2CRl22,JNO,58.93 
[8673] ADD,9Z89FNPK7B,79423.30 
[8674] BUY,NcGvD9d4mj,PXX,100.64 
[8675] BUY,kMcjEkmbDd,FPV,119.55 
[8676] QUOTE,28VL4WCD6l,UTL 
[8677] QUOTE,dALWhJa374,GAN 
[8678] CANCEL_BUY,7UUhSRHInh 
[8679] SET_BUY_TRIGGER,TViJpUe5JR,FTB,10.76 
[8680] BUY,uzApK6tlMI,EGX,543.66 
[8681] ADD,xgci4T0tkO,54879.19 
[8682] SET_SELL_TRIGGER,LAu7ZpcWWv,KES,510.38 
[8683] BUY,28VL4WCD6l,FKZ,232.70 
[8684] COMMIT_BUY,LX1FeVjg6k 
[8685] SET_BUY_TRIGGER,oAd3QaqYgz,ZJQ,105.24 
[8686] CANCEL_SELL,gou39c5KlQ 
[8687] BUY,t56BLlGu3K,SWD,36.27 
[8688] DISPLAY_SUMMARY,KnTBc3qwcr 
[8689] DISPLAY_SUMMARY,ugupCCzmJf 
[8690] SET_BUY_AMOUNT,ZVyQqBS4Yw,GYF,321.17 
[8691] SELL,kESyNMCJeA,OEY,587.04 
[8692] SET_BUY_TRIGGER,ZVyQqBS4Yw,OOR,51.21 
[8693] SET_SELL_AMOUNT,xKgBJKhIlx,JVT,712.47 
[8694] BUY,D6zA2CRl22,WTD,215.28 
[8695] DISPLAY_SUMMARY,28VL4WCD6l 
[8696] SET_SELL_AMOUNT,FLeNlw500v,KES,58.49 
[8697] BUY,LtO7mQU2OX,WRJ,32.29 
[8698] COMMIT_BUY,LtO7mQU2OX 
[8699] BUY,e6JAmPjBmb,EDM,700.30 
[8700] BUY,9Z89FNPK7B,LJZ,504.77 
[8701] ADD,e7Zw0RBCl6,54981.27 
[8702] COMMIT_BUY,9Z89FNPK7B 
[8703] BUY,aMMzTGXVGg,MWJ,5.56 
[8704] SET_SELL_TRIGGER,LtO7mQU2OX,CVV,160.57 
[8705] QUOTE,9RCeWXbzj9,JPD 
[8706] SET_BUY_AMOUNT,hBEPbg75Qp,KDA,286.54 
[8707] SELL,TViJpUe5JR,FQP,44.14 
[8708] SELL,kESyNMCJeA,FQP,138.98 
[8709] DISPLAY_SUMMARY,hQaIWhluU7 
[8710] ADD,8pCSyzEP5L,77648.92 
[8711] BUY,xETyPXWhj9,IAV,196.37 
[8712] DISPLAY_SUMMARY,LAu7ZpcWWv 
[8713] CANCEL_SELL,xgci4T0tkO 
[8714] BUY,FOsYiQU5Qk,ZGR,638.92 
[8715] BUY,hBEPbg75Qp,MPP,456.08 
[8716] SET_SELL_AMOUNT,HBbyhPrKJi,OEY,311.70 
[8717] SET_BUY_TRIGGER,y5IWeezXEN,VOU,129.89 
[8718] QUOTE,oAd3QaqYgz,CVP 
[8719] BUY,g3Xh0OB6vf,XRK,433.81 
[8720] SELL,LtO7mQU2OX,KDA,731.41 
[8721] SET_BUY_TRIGGER,4vBuSX8YYJ,IAV,107.53 
[8722] ADD,JZJCffUI5S,74008.98 
[8723] QUOTE,3mEsf51UBo,ZLY 
[8724] CANCEL_SELL,OO6PWyjuYk 
[8725] QUOTE,NmnabmB6tO,YBO 
[8726] SET_BUY_TRIGGER,QXEQWDUSMg,ZNZ,197.38 
[8727] CANCEL_BUY,F3iruDCI8F 
[8728] DISPLAY_SUMMARY,8IA1PUK3hd 
[8729] DISPLAY_SUMMARY,p876fU7BEx 
[8730] BUY,F0mQHf8fev,FPV,107.47 
[8731] ADD,28VL4WCD6l,69509.81 
[8732] CANCEL_SET_BUY,nV1jqGc3b6,BBD 
[8733] SET_SELL_TRIGGER,t56BLlGu3K,VDP,9.69 
[8734] COMMIT_BUY,uzApK6tlMI 
[8735] SET_SELL_AMOUNT,Z5Z6RJO7ho,QJZ,731.01 
[8736] SELL,9Z89FNPK7B,JCQ,152.67 
[8737] CANCEL_SET_SELL,aMMzTGXVGg,QJZ 
[8738] SET_BUY_AMOUNT,mR1GL8In4q,JVT,671.16 
[8739] BUY,28VL4WCD6l,GIK,633.01 
[8740] BUY,69DAEr1YIe,IOY,737.19 
[8741] ADD,8xgyjkdphP,76540.61 
[8742] COMMIT_SELL,TViJpUe5JR 
[8743] ADD,qE6dGnwk51,102300.02 
[8744] SET_BUY_TRIGGER,UuEeoiTzyl,JJW,45.70 
[8745] SET_BUY_TRIGGER,OO6PWyjuYk,UEC,29.74 
[8746] QUOTE,6bw5h7oAdg,SFO 
[8747] SELL,xRR8b3q6bp,KDA,625.39 
[8748] DISPLAY_SUMMARY,U4jQmk30QS 
[8749] BUY,VEusTtq5S7,ILT,70.88 
[8750] COMMIT_BUY,WUsol6wtDm 
[8751] COMMIT_BUY,AwEXQhdKGW 
[8752] SET_BUY_TRIGGER,unNg5XYq8A,GAL,226.30 
[8753] QUOTE,kESyNMCJeA,QEO 
[8754] QUOTE,KnTBc3qwcr,CXB 
[8755] SET_BUY_AMOUNT,1uGQw5a691,QJZ,570.56 
[8756] SET_SELL_TRIGGER,HBbyhPrKJi,OEY,160.76 
[8757] SET_SELL_TRIGGER,HBb0dWvkmH,KDA,61.41 
[8758] SET_BUY_TRIGGER,KnTBc3qwcr,YPW,2.42 
[8759] COMMIT_SELL,lLn3fa1FIk 
[8760] QUOTE,UUcfl1X3U9,ZJG 
[8761] CANCEL_BUY,CetaglZj6n 
[8762] SET_SELL_AMOUNT,ugupCCzmJf,FQP,81.53 
[8763] SELL,lLn3fa1FIk,KES,480.30 
[8764] ADD,FjKEXA3hdZ,82488.95 
[8765] SET_SELL_TRIGGER,TRCadzjH8F,JVT,246.11 
[8766] SET_BUY_AMOUNT,vmBnGlfW5S,FQP,728.96 
[8767] BUY,HBbyhPrKJi,JSM,344.35 
[8768] BUY,cehNQrvm7R,DES,404.06 
[8769] QUOTE,uWX4TGhR6O,MGO 
[8770] COMMIT_BUY,HBbyhPrKJi 
[8771] CANCEL_SET_BUY,VEusTtq5S7,JVE 
[8772] BUY,pIkIgs3Y8E,ETB,70.00 
[8773] CANCEL_SET_SELL,Z5Z6RJO7ho,QJZ 
[8774] SET_BUY_TRIGGER,vmBnGlfW5S,GNY,41.68 
[8775] QUOTE,qE6dGnwk51,QSS 
[8776] COMMIT_BUY,REUXfFUthD 
[8777] SET_SELL_TRIGGER,U4jQmk30QS,EWP,161.17 
[8778] BUY,n4E566ZogW,HIW,468.88 
[8779] ADD,WUsol6wtDm,61254.33 
[8780] SELL,0oVAF91nA3,KES,732.53 
[8781] SET_BUY_TRIGGER,hQaIWhluU7,XZN,108.97 
[8782] DISPLAY_SUMMARY,q0Qp5MF3CI 
[8783] QUOTE,XeYo2ezKey,QNK 
[8784] ADD,hQaIWhluU7,92240.65 
[8785] QUOTE,NmnabmB6tO,QID 
[8786] SET_BUY_AMOUNT,xETyPXWhj9,KDA,530.21 
[8787] BUY,FjKEXA3hdZ,IJO,387.82 
[8788] SET_SELL_TRIGGER,6bw5h7oAdg,KDA,65.78 
[8789] BUY,km22Ao7dfo,PXF,725.39 
[8790] SET_SELL_TRIGGER,AwEXQhdKGW,QSS,42.41 
[8791] SET_BUY_TRIGGER,F0mQHf8fev,TSU,86.02 
[8792] QUOTE,q0Qp5MF3CI,WYA 
[8793] CANCEL_SET_BUY,1uGQw5a691,GLJ 
[8794] QUOTE,y5IWeezXEN,LJZ 
[8795] COMMIT_BUY,km22Ao7dfo 
[8796] COMMIT_SELL,aMMzTGXVGg 
[8797] ADD,TRCadzjH8F,83240.24 
[8798] COMMIT_BUY,NcGvD9d4mj 
[8799] COMMIT_SELL,9Z89FNPK7B 
[8800] BUY,akVcdarOA3,SVV,403.76 
[8801] SET_SELL_TRIGGER,UuEeoiTzyl,OHS,32.16 
[8802] ADD,XwKSBoZ6lO,63407.08 
[8803] SET_BUY_TRIGGER,qE6dGnwk51,PUN,177.79 
[8804] COMMIT_BUY,69DAEr1YIe 
[8805] CANCEL_SET_SELL,UuEeoiTzyl,ETJ 
[8806] DISPLAY_SUMMARY,7Jo2brvLiF 
[8807] CANCEL_SET_SELL,8IA1PUK3hd,YBP 
[8808] QUOTE,e7Zw0RBCl6,DRO 
[8809] BUY,n9qniWnHrs,JCQ,639.02 
[8810] BUY,km22Ao7dfo,UMN,403.80 
[8811] ADD,AwEXQhdKGW,81473.02 
[8812] BUY,Rq5xFLYt6l,MGK,206.20 
[8813] BUY,gou39c5KlQ,UDQ,382.89 
[8814] COMMIT_BUY,FOsYiQU5Qk 
[8815] ADD,kESyNMCJeA,62990.28 
[8816] COMMIT_BUY,gou39c5KlQ 
[8817] SET_SELL_AMOUNT,YBTGw9v3Cl,KDA,539.34 
[8818] QUOTE,2xvOQRaMMK,HIN 
[8819] ADD,k5RWRveCOY,62992.84 
[8820] BUY,WUsol6wtDm,JMX,367.47 
[8821] CANCEL_BUY,vRUafgIjuV 
[8822] SET_SELL_TRIGGER,nV1jqGc3b6,DBS,12.26 
[8823] SELL,p876fU7BEx,QJZ,300.58 
[8824] SET_SELL_TRIGGER,ugupCCzmJf,FQP,45.53 
[8825] COMMIT_SELL,Rq5xFLYt6l 
[8826] DISPLAY_SUMMARY,0oVAF91nA3 
[8827] ADD,ugupCCzmJf,91549.34 
[8828] QUOTE,AnPcs8yTdQ,YLZ 
[8829] SELL,gou39c5KlQ,JCQ,422.68 
[8830] COMMIT_BUY,hPnf9OsmbW 
[8831] BUY,vmBnGlfW5S,CVK,614.11 
[8832] COMMIT_BUY,vmBnGlfW5S 
[8833] QUOTE,XwKSBoZ6lO,FRB 
[8834] SET_BUY_TRIGGER,9Z89FNPK7B,ZMS,125.61 
[8835] ADD,7Jo2brvLiF,73213.43 
[8836] SET_SELL_TRIGGER,NcGvD9d4mj,MOF,196.28 
[8837] CANCEL_SET_SELL,xKgBJKhIlx,JVT 
[8838] DISPLAY_SUMMARY,HPxIuj9S6A 
[8839] SELL,HBbyhPrKJi,JVT,232.15 
[8840] SET_SELL_TRIGGER,FLeNlw500v,KES,18.71 
[8841] ADD,VEusTtq5S7,61812.43 
[8842] QUOTE,QXEQWDUSMg,XOL 
[8843] SET_BUY_TRIGGER,xETyPXWhj9,SCK,459.39 
[8844] CANCEL_SET_SELL,FLeNlw500v,EOS 
[8845] QUOTE,k5RWRveCOY,VNF 
[8846] DISPLAY_SUMMARY,aMMzTGXVGg 
[8847] ADD,HGsodwsfKO,65920.44 
[8848] QUOTE,REUXfFUthD,KYT 
[8849] SET_BUY_TRIGGER,e6JAmPjBmb,KDA,93.82 
[8850] SET_BUY_AMOUNT,F0mQHf8fev,EBS,328.80 
[8851] ADD,FLeNlw500v,97640.48 
[8852] BUY,JZJCffUI5S,XXQ,149.25 
[8853] BUY,hrINHOrbWw,MZT,667.04 
[8854] BUY,7Jo2brvLiF,CUZ,285.74 
[8855] BUY,8xgyjkdphP,QPX,611.86 
[8856] ADD,NcGvD9d4mj,72824.49 
[8857] COMMIT_BUY,kMcjEkmbDd 
[8858] CANCEL_SET_SELL,LAu7ZpcWWv,YMG 
[8859] SET_SELL_TRIGGER,gou39c5KlQ,EDV,186.01 
[8860] BUY,69DAEr1YIe,SYT,418.03 
[8861] COMMIT_BUY,JZJCffUI5S 
[8862] SET_BUY_TRIGGER,p876fU7BEx,NHG,196.49 
[8863] SELL,k5RWRveCOY,KES,5.40 
[8864] QUOTE,FOsYiQU5Qk,DWU 
[8865] DISPLAY_SUMMARY,kMcjEkmbDd 
[8866] ADD,xKgBJKhIlx,49992.35 
[8867] DISPLAY_SUMMARY,vRUafgIjuV 
[8868] SET_SELL_AMOUNT,VEusTtq5S7,OEY,628.59 
[8869] SET_SELL_TRIGGER,hBEPbg75Qp,CDF,120.24 
[8870] SET_SELL_AMOUNT,UUcfl1X3U9,QJZ,32.65 
[8871] SET_SELL_AMOUNT,p876fU7BEx,GYF,214.30 
[8872] COMMIT_SELL,hrINHOrbWw 
[8873] SET_SELL_TRIGGER,unNg5XYq8A,WGV,0.20 
[8874] BUY,XeYo2ezKey,WJB,526.79 
[8875] SET_BUY_TRIGGER,F3iruDCI8F,HFI,2.59 
[8876] ADD,ZVyQqBS4Yw,87097.04 
[8877] QUOTE,y5IWeezXEN,QVK 
[8878] COMMIT_BUY,akVcdarOA3 
[8879] SET_SELL_TRIGGER,hBEPbg75Qp,YRL,152.99 
[8880] BUY,kESyNMCJeA,GSW,125.79 
[8881] BUY,dALWhJa374,HTN,358.85 
[8882] COMMIT_SELL,kryOHlcACM 
[8883] ADD,KnTBc3qwcr,62914.58 
[8884] QUOTE,vRUafgIjuV,OIY 
[8885] SET_BUY_TRIGGER,gou39c5KlQ,ALG,195.84 
[8886] SELL,LX1FeVjg6k,OEY,288.62 
[8887] SET_BUY_TRIGGER,x8GMbOCXJX,KCA,106.12 
[8888] COMMIT_SELL,LtO7mQU2OX 
[8889] QUOTE,e6JAmPjBmb,YKB 
[8890] DISPLAY_SUMMARY,hPnf9OsmbW 
[8891] SELL,F0mQHf8fev,JVT,85.25 
[8892] COMMIT_SELL,F0mQHf8fev 
[8893] ADD,9RCeWXbzj9,64628.40 
[8894] CANCEL_SET_BUY,n9qniWnHrs,FCM 
[8895] COMMIT_SELL,k5RWRveCOY 
[8896] CANCEL_SET_SELL,aMMzTGXVGg,AHE 
[8897] ADD,eGGeSBtfEQ,78036.08 
[8898] QUOTE,km22Ao7dfo,FGF 
[8899] COMMIT_BUY,g3Xh0OB6vf 
[8900] CANCEL_SELL,U4jQmk30QS 
[8901] COMMIT_SELL,hQaIWhluU7 
[8902] DISPLAY_SUMMARY,UuEeoiTzyl 
[8903] DISPLAY_SUMMARY,uzApK6tlMI 
[8904] SET_SELL_AMOUNT,7UUhSRHInh,FQP,213.43 
[8905] QUOTE,NmnabmB6tO,VVO 
[8906] SET_BUY_TRIGGER,28VL4WCD6l,ZRH,62.79 
[8907] CANCEL_SELL,ugupCCzmJf 
[8908] ADD,unNg5XYq8A,70038.04 
[8909] COMMIT_BUY,kcrL7pVjFP 
[8910] CANCEL_SET_BUY,xka9Jdr7ac,ZRJ 
[8911] COMMIT_SELL,ZVyQqBS4Yw 
[8912] BUY,vmBnGlfW5S,XXP,391.94 
[8913] CANCEL_BUY,cehNQrvm7R 
[8914] QUOTE,6bw5h7oAdg,LUT 
[8915] COMMIT_BUY,gou39c5KlQ 
[8916] BUY,kMcjEkmbDd,FLY,686.15 
[8917] SET_SELL_TRIGGER,p876fU7BEx,GYF,173.47 
[8918] SET_SELL_TRIGGER,UUcfl1X3U9,QJZ,20.22 
[8919] BUY,xgci4T0tkO,OOI,49.22 
[8920] QUOTE,cehNQrvm7R,OIY 
[8921] DISPLAY_SUMMARY,LtO7mQU2OX 
[8922] DISPLAY_SUMMARY,cehNQrvm7R 
[8923] CANCEL_SELL,cehNQrvm7R 
[8924] COMMIT_BUY,n4E566ZogW 
[8925] DISPLAY_SUMMARY,aMMzTGXVGg 
[8926] BUY,q0Qp5MF3CI,OYS,619.24 
[8927] ADD,LtO7mQU2OX,53359.56 
[8928] BUY,FLeNlw500v,WYR,115.56 
[8929] SET_SELL_AMOUNT,U4jQmk30QS,FQP,28.54 
[8930] SET_SELL_TRIGGER,7UUhSRHInh,FQP,110.04 
[8931] SET_BUY_AMOUNT,oAd3QaqYgz,GYF,280.44 
[8932] SET_SELL_AMOUNT,kESyNMCJeA,KES,613.00 
[8933] BUY,y5IWeezXEN,CBV,432.66 
[8934] CANCEL_SET_SELL,8xgyjkdphP,OZO 
[8935] BUY,AnPcs8yTdQ,OLH,477.26 
[8936] SELL,k5RWRveCOY,KES,96.52 
[8937] DISPLAY_SUMMARY,nV1jqGc3b6 
[8938] SET_SELL_TRIGGER,VEusTtq5S7,OEY,224.30 
[8939] BUY,e7Zw0RBCl6,JXW,427.21 
[8940] DISPLAY_SUMMARY,KnTBc3qwcr 
[8941] COMMIT_SELL,lLn3fa1FIk 
[8942] QUOTE,9RCeWXbzj9,RWY 
[8943] QUOTE,ugupCCzmJf,PUN 
[8944] COMMIT_BUY,XeYo2ezKey 
[8945] SET_SELL_AMOUNT,dALWhJa374,JCQ,188.31 
[8946] CANCEL_SET_BUY,uWX4TGhR6O,KNM 
[8947] DISPLAY_SUMMARY,28VL4WCD6l 
[8948] QUOTE,qE6dGnwk51,VBO 
[8949] ADD,FLeNlw500v,82035.46 
[8950] BUY,AwEXQhdKGW,OKK,366.99 
[8951] ADD,JZJCffUI5S,85390.42 
[8952] QUOTE,TRCadzjH8F,JTY 
[8953] DISPLAY_SUMMARY,KnTBc3qwcr 
[8954] QUOTE,unNg5XYq8A,JRJ 
[8955] SET_SELL_TRIGGER,lLn3fa1FIk,VOY,30.08 
[8956] COMMIT_BUY,AwEXQhdKGW 
[8957] BUY,FOsYiQU5Qk,MIY,363.11 
[8958] COMMIT_BUY,69DAEr1YIe 
[8959] SET_BUY_TRIGGER,8xgyjkdphP,EGX,26.79 
[8960] ADD,AwEXQhdKGW,52544.94 
[8961] BUY,NmnabmB6tO,UEC,482.24 
[8962] COMMIT_BUY,AnPcs8yTdQ 
[8963] SELL,VEusTtq5S7,QJZ,567.62 
[8964] SET_SELL_AMOUNT,BOvGL2MRxg,KDA,83.14 
[8965] QUOTE,wYQUhjq8PE,CVP 
[8966] QUOTE,wYQUhjq8PE,VBO 
[8967] BUY,e6JAmPjBmb,XOP,501.09 
[8968] COMMIT_BUY,e7Zw0RBCl6 
[8969] BUY,wYQUhjq8PE,JSM,76.74 
[8970] CANCEL_SELL,q0Qp5MF3CI 
[8971] BUY,QXEQWDUSMg,ULL,290.35 
[8972] QUOTE,NcGvD9d4mj,BHH 
[8973] SET_SELL_TRIGGER,U4jQmk30QS,FQP,1.66 
[8974] CANCEL_BUY,kMcjEkmbDd 
[8975] BUY,cehNQrvm7R,PJJ,431.58 
[8976] SET_SELL_AMOUNT,ooUBBK63Qe,OEY,368.45 
[8977] SET_SELL_TRIGGER,hrINHOrbWw,QID,199.88 
[8978] SET_SELL_TRIGGER,aMMzTGXVGg,ZTR,181.34 
[8979] SELL,4vBuSX8YYJ,OEY,393.78 
[8980] SET_SELL_TRIGGER,q0Qp5MF3CI,KAO,199.70 
[8981] BUY,kcrL7pVjFP,RQT,696.71 
[8982] SELL,nV1jqGc3b6,JVT,454.97 
[8983] SET_BUY_TRIGGER,etWfSg2zBt,LUT,128.87 
[8984] COMMIT_BUY,NmnabmB6tO 
[8985] SET_BUY_AMOUNT,x8GMbOCXJX,QJZ,738.65 
[8986] SET_BUY_AMOUNT,2xvOQRaMMK,FQP,111.72 
[8987] COMMIT_BUY,QXEQWDUSMg 
[8988] SET_SELL_TRIGGER,8pCSyzEP5L,OSC,65.79 
[8989] COMMIT_BUY,FOsYiQU5Qk 
[8990] SET_BUY_TRIGGER,XwKSBoZ6lO,UMV,167.42 
[8991] SELL,dALWhJa374,JVT,333.21 
[8992] DISPLAY_SUMMARY,WUsol6wtDm 
[8993] QUOTE,pIkIgs3Y8E,SQS 
[8994] SET_BUY_TRIGGER,2xvOQRaMMK,NNW,81.84 
[8995] QUOTE,qE6dGnwk51,GYF 
[8996] SELL,69DAEr1YIe,FQP,560.49 
[8997] DISPLAY_SUMMARY,1uGQw5a691 
[8998] ADD,aMMzTGXVGg,56395.69 
[8999] DISPLAY_SUMMARY,WUsol6wtDm 
[9000] SET_BUY_AMOUNT,AnPcs8yTdQ,FQP,217.28 
[9001] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[9002] SET_BUY_TRIGGER,NmnabmB6tO,PLB,29.50 
[9003] SELL,ZVyQqBS4Yw,KDA,593.46 
[9004] SET_SELL_AMOUNT,9Z89FNPK7B,JCQ,241.88 
[9005] SELL,TViJpUe5JR,QJZ,481.74 
[9006] DISPLAY_SUMMARY,2GizxWZj6J 
[9007] COMMIT_BUY,7Jo2brvLiF 
[9008] SET_BUY_TRIGGER,mR1GL8In4q,JXR,468.02 
[9009] COMMIT_SELL,69DAEr1YIe 
[9010] ADD,kMcjEkmbDd,45503.87 
[9011] BUY,VEusTtq5S7,VMK,389.43 
[9012] CANCEL_SELL,HGsodwsfKO 
[9013] CANCEL_SET_SELL,4vBuSX8YYJ,XOA 
[9014] CANCEL_SELL,HPxIuj9S6A 
[9015] SELL,CetaglZj6n,JVT,396.61 
[9016] COMMIT_BUY,8IA1PUK3hd 
[9017] COMMIT_BUY,VEusTtq5S7 
[9018] SET_SELL_TRIGGER,xRR8b3q6bp,FCH,52.47 
[9019] SET_BUY_AMOUNT,0oVAF91nA3,KES,274.64 
[9020] QUOTE,aMMzTGXVGg,IRQ 
[9021] BUY,aMMzTGXVGg,JEA,598.77 
[9022] SELL,hrINHOrbWw,KES,652.73 
[9023] QUOTE,vRUafgIjuV,MXD 
[9024] CANCEL_SET_BUY,xETyPXWhj9,ZAN 
[9025] DISPLAY_SUMMARY,gou39c5KlQ 
[9026] SET_SELL_TRIGGER,p876fU7BEx,SOA,53.92 
[9027] SET_SELL_AMOUNT,LX1FeVjg6k,JVT,538.53 
[9028] SELL,nV1jqGc3b6,FQP,296.89 
[9029] DISPLAY_SUMMARY,NmnabmB6tO 
[9030] SET_SELL_TRIGGER,69DAEr1YIe,AIN,75.57 
[9031] SELL,LAu7ZpcWWv,JVT,113.33 
[9032] ADD,XwKSBoZ6lO,45678.22 
[9033] ADD,hQaIWhluU7,79299.94 
[9034] SET_SELL_AMOUNT,FLeNlw500v,KES,352.18 
[9035] SET_SELL_TRIGGER,9Z89FNPK7B,JCQ,96.90 
[9036] SET_BUY_TRIGGER,y5IWeezXEN,IIX,43.54 
[9037] BUY,LtO7mQU2OX,GAL,242.60 
[9038] BUY,y5IWeezXEN,VDP,190.51 
[9039] DISPLAY_SUMMARY,n9qniWnHrs 
[9040] BUY,ugupCCzmJf,VSE,615.35 
[9041] QUOTE,lLn3fa1FIk,ZRJ 
[9042] ADD,pIkIgs3Y8E,53396.12 
[9043] SET_BUY_AMOUNT,XeYo2ezKey,KES,167.31 
[9044] ADD,8xgyjkdphP,82751.53 
[9045] BUY,vmBnGlfW5S,CUQ,728.18 
[9046] BUY,9Z89FNPK7B,OZO,70.07 
[9047] SET_BUY_AMOUNT,1uGQw5a691,OEY,722.15 
[9048] DISPLAY_SUMMARY,hBEPbg75Qp 
[9049] CANCEL_SET_BUY,oAd3QaqYgz,XZN 
[9050] BUY,oAd3QaqYgz,RUN,719.22 
[9051] SET_BUY_TRIGGER,9RCeWXbzj9,CLQ,156.12 
[9052] SET_SELL_TRIGGER,BOvGL2MRxg,KDA,68.37 
[9053] SET_BUY_TRIGGER,1uGQw5a691,SFO,152.39 
[9054] BUY,TRCadzjH8F,NBX,446.04 
[9055] ADD,etWfSg2zBt,54666.09 
[9056] CANCEL_SELL,etWfSg2zBt 
[9057] DISPLAY_SUMMARY,AwEXQhdKGW 
[9058] ADD,unNg5XYq8A,93992.46 
[9059] ADD,69DAEr1YIe,100325.99 
[9060] QUOTE,JZJCffUI5S,PNP 
[9061] BUY,hBEPbg75Qp,WZY,292.60 
[9062] SELL,2GizxWZj6J,OEY,530.98 
[9063] COMMIT_BUY,FjKEXA3hdZ 
[9064] SET_SELL_AMOUNT,UuEeoiTzyl,KDA,282.17 
[9065] QUOTE,6bw5h7oAdg,VMT 
[9066] DISPLAY_SUMMARY,kMcjEkmbDd 
[9067] SET_SELL_TRIGGER,hBEPbg75Qp,WJS,10.29 
[9068] COMMIT_BUY,t56BLlGu3K 
[9069] BUY,REUXfFUthD,EOY,377.03 
[9070] SET_BUY_AMOUNT,JZJCffUI5S,GYF,625.84 
[9071] SELL,9RCeWXbzj9,FQP,101.53 
[9072] BUY,ooUBBK63Qe,NFV,658.44 
[9073] COMMIT_BUY,ugupCCzmJf 
[9074] COMMIT_BUY,xgci4T0tkO 
[9075] SET_BUY_AMOUNT,F3iruDCI8F,QJZ,684.62 
[9076] SET_SELL_AMOUNT,OO6PWyjuYk,FQP,15.44 
[9077] COMMIT_SELL,9RCeWXbzj9 
[9078] DISPLAY_SUMMARY,hrINHOrbWw 
[9079] SET_SELL_TRIGGER,LX1FeVjg6k,JVT,294.36 
[9080] QUOTE,NmnabmB6tO,QOQ 
[9081] COMMIT_SELL,lLn3fa1FIk 
[9082] CANCEL_SET_BUY,Z5Z6RJO7ho,PUN 
[9083] SET_BUY_TRIGGER,akVcdarOA3,HQU,5.18 
[9084] BUY,unNg5XYq8A,WJP,308.26 
[9085] DISPLAY_SUMMARY,KnTBc3qwcr 
[9086] ADD,xRR8b3q6bp,59102.42 
[9087] SET_SELL_AMOUNT,ugupCCzmJf,KDA,588.12 
[9088] BUY,HBb0dWvkmH,OOV,371.41 
[9089] BUY,6bw5h7oAdg,LMB,101.12 
[9090] QUOTE,hQaIWhluU7,TVP 
[9091] ADD,v2iT5RAbiA,74039.85 
[9092] QUOTE,hQaIWhluU7,RUN 
[9093] SET_SELL_TRIGGER,FLeNlw500v,KES,96.72 
[9094] BUY,NmnabmB6tO,IIX,113.20 
[9095] QUOTE,NcGvD9d4mj,KAF 
[9096] COMMIT_BUY,LtO7mQU2OX 
[9097] ADD,8IA1PUK3hd,82732.87 
[9098] CANCEL_SET_SELL,ZVyQqBS4Yw,AED 
[9099] COMMIT_BUY,aMMzTGXVGg 
[9100] DISPLAY_SUMMARY,q0Qp5MF3CI 
[9101] SET_BUY_AMOUNT,BOvGL2MRxg,GYF,250.86 
[9102] SET_SELL_AMOUNT,1uGQw5a691,QJZ,433.50 
[9103] SET_SELL_TRIGGER,UuEeoiTzyl,KDA,165.41 
[9104] COMMIT_BUY,vmBnGlfW5S 
[9105] QUOTE,ugupCCzmJf,OLH 
[9106] QUOTE,xKgBJKhIlx,BPE 
[9107] CANCEL_BUY,kcrL7pVjFP 
[9108] SET_BUY_TRIGGER,x8GMbOCXJX,DPG,85.74 
[9109] CANCEL_BUY,mR1GL8In4q 
[9110] DISPLAY_SUMMARY,FOsYiQU5Qk 
[9111] SET_BUY_AMOUNT,q0Qp5MF3CI,JVT,395.32 
[9112] BUY,v2iT5RAbiA,FCM,434.79 
[9113] CANCEL_BUY,dALWhJa374 
[9114] SELL,QXEQWDUSMg,EBS,189.43 
[9115] ADD,xgci4T0tkO,91356.68 
[9116] COMMIT_BUY,CetaglZj6n 
[9117] ADD,akVcdarOA3,65101.02 
[9118] SELL,CetaglZj6n,KES,523.61 
[9119] SET_BUY_TRIGGER,JZJCffUI5S,WGP,591.99 
[9120] CANCEL_SET_SELL,YBTGw9v3Cl,KDA 
[9121] ADD,x8GMbOCXJX,69427.22 
[9122] ADD,Z5Z6RJO7ho,79174.35 
[9123] ADD,ZVyQqBS4Yw,70352.87 
[9124] QUOTE,p876fU7BEx,MVI 
[9125] BUY,AnPcs8yTdQ,APY,569.80 
